
Endüstri Mühendisliği Lisans Ders Programı
,,,,
​1. Yarıyıl (1. Yıl Güz Dönemi),,,,2. Yarıyıl (1. Yıl Bahar Dönemi)
Ders No,,Ders Adı,,Z/S,,T,,U,,K,,AKTS,,,,Ders No,,Ders Adı,,Z/S,,T,,U,,K,,AKTS
516506,,Staj-I,,Z,,0,,0,,0,,3,,,,,,Teknik Seçmeli Ders-III,,S,,3,,0,,3,,3
,,Teknik Seçmeli Ders-I,,S,,2,,0,,2,,3,,,,,,Teknik Seşmeli Ders-IV,,S,,3,,0,,3,,3
,,Teknik Seçmeli Ders-II,,S,,2,,0,,2,,3,,,,,,TOPLAM,,,,20,,2,,21,,30
,,TOPLAM,,,,19,,2,,20,,30,,,,,,,,,,,,,,,,
Teknik Seçmeli Ders I,,,,,,,,,,,,,,Teknik Seçmeli Ders III,,,,,,,,,,
516510,,İş ve İşletme Hukuku,,S,,2,,0,,2,,3,,,,516610,,Isı Enerjisi Sistemlerine Giriş,,S,,3,,0,,3,,3
516511,,Kamu Yönetimi,,S,,2,,0,,2,,3,,,,516611,,Makine Elemanları Bilgisi,,S,,3,,0,,3,,3
516512,,Uluslararası İlişkiler,,S,,2,,0,,2,,3,,,,516612,,Coğrafi Bilgi Sistemleri,,S,,3,,0,,3,,3
516513,,Karar Modelleri,,S,,2,,0,,2,,3,,,,516613,,Üretim Çizelgeleme,,S,,3,,0,,3,,3
516514,,Sayısal Analiz,,S,,2,,0,,2,,3,,,,516614,,Tahmin Yöntemleri,,S,,3,,0,,3,,3
,,,,,,,,,,,,,,,,516615,,Stok Kontrol,,S,,3,,0,,3,,3
Teknik Seçmeli Ders II,,,,,,,,,,,,,,Teknik Seçmeli Ders IV,,,,,,,,,,
516520,,Avrupa Birliğinde Sosyal Politika,,S,,2,,0,,2,,3,,,,516620,,Müşteri İlişkileri Yönetimi,,S,,3,,0,,3,,3
516521,,Ekonomik Küreselleşme,,S,,2,,0,,2,,3,,,,516621,,İşletmecilik Bilgisi,,S,,3,,0,,3,,3
516522,,Tedarik Zinciri Yönetimi,,S,,2,,0,,2,,3,,,,516622,,Yalın Üretim,,S,,3,,0,,3,,3
,,,,,,,,,,,,,,,,516623,,Risk ve Güvenilirlik Analizi,,S,,3,,0,,3,,3
,,,,,,,,,,,,,,,,516624,,Lojistik Mühendisliği,,S,,3,,0,,3,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Yarıyıl (4. Yıl Güz Dönemi),,,,8. Yarıyıl (4.Yıl Bahar Dönemi)
Ders No,,Ders Adı,,Z/S,,T,,U,,K,,AKTS,,,,Ders No,,Ders Adı,,Z/S,,T,,U,,K,,AKTS
516701,,Veri Tabanı Yönetim Sistemleri,,Z,,3,,1,,"3,5",,5,,,,516801,,Endüstri Mühendisliği Laboratuvarı,,Z,,2,,2,,3,,5
516702,,Tesis Planlama,,Z,,2,,1,,"2,5",,4,,,,516802,,Endüstri Mühendisliği Projesi,,Z,,2,,2,,3,,5
516703,,Endüstri Mühendisliği Semineri,,Z,,2,,1,,"2,5",,4,,,,,,Teknik Seçmeli Ders-IX,,S,,3,,0,,3,,5
516704,,Staj-II,,Z,,0,,0,,0,,3,,,,,,Teknik Seçmeli Ders-X,,S,,3,,0,,3,,5
,,Teknik Seçmeli Ders-V,,S,,3,,0,,3,,4,,,,,,Teknik Seçmeli Ders-XI,,S,,3,,0,,3,,5
,,Teknik Seçmeli Ders-VI,,S,,3,,0,,3,,4,,,,,,Teknik Seçmeli Ders-XII,,S,,3,,0,,3,,5
,,Teknik Seçmeli Ders-VII,,S,,3,,0,,3,,3,,,,,,TOPLAM,,,,16,,4,,18,,30
,,Teknik Seçmeli Ders-VIII,,S,,2,,0,,2,,3,,,,,,,,,,,,,,,,
,,TOPLAM,,,,18,,3,,"19,5",,30,,,,,,,,,,,,,,,,
Teknik Seçmeli Ders V,,,,,,,,,,,,,,Teknik Seçmeli Ders IX,,,,,,,,,,
516710,,Hizmet Sistemleri,,S,,3,,0,,3,,4,,,,516810,,Strateji-İş Gel. ve Teknoloji Yön.,,S,,3,,0,,3,,5
516711,,Üretim Sistemleri,,S,,3,,0,,3,,4,,,,516811,,Patent ve Endüstriyel Tasarım,,S,,3,,0,,3,,5
,,,,,,,,,,,,,,,,516812,,Endüstriyel Süreç Tasarım,,S,,3,,0,,3,,5
Teknik Seçmeli Ders VI,,,,,,,,,,,,,,Teknik Seçmeli Ders X,,,,,,,,,,
516720,,Sistem Dinamiği ve Kontrol,,S,,3,,0,,3,,4,,,,516820,,Toplam Kalite Yönetimi,,S,,3,,0,,3,,5
516721,,CNC Programlama,,S,,3,,0,,3,,4,,,,516821,,Lojistik Yönetimi,,S,,3,,0,,3,,5
516722,,Metroloji,,S,,3,,0,,3,,4,,,,516822,,Robotlara Giriş,,S,,3,,0,,3,,5
516723,,Sezgisel Eniyileme,,S,,3,,0,,3,,4,,,,516823,,Bilgisayarlı Bütünleşik Üretim,,S,,3,,0,,3,,5
516724,,Deneysel Tasarım,,S,,3,,0,,3,,4,,,,,,,,,,,,,,,,
516725,,Optimizasyon Teknikleri,,S,,3,,0,,3,,4,,,,,,,,,,,,,,,,
Teknik Seçmeli Ders VII,,,,,,,,,,,,,,Teknik Seçmeli Ders XI,,,,,,,,,,
516730,,Verimlilik ve Değer Analizi,,S,,3,,0,,3,,3,,,,516830,,Avrupa Birliği Mevzuatı,,S,,3,,0,,3,,5
516731,,Altı Sigma,,S,,3,,0,,3,,3,,,,516831,,Proje Yönetimi,,S,,3,,0,,3,,5
516732,,Endüstri ve Çevre Etkileşimi,,S,,3,,0,,3,,3,,,,516832,,İnsan Kaynakları Yönetimi,,S,,3,,0,,3,,5
516733,,Endüstri Mühendisliği Uygulamaları,,S,,3,,0,,3,,3,,,,516833,,Üretim Kaynakları Planlaması,,S,,3,,0,,3,,5
Teknik Seçmeli Ders VIII,,,,,,,,,,,,,,Teknik Seçmeli Ders XII,,,,,,,,,,
516740,,Sürdürülebilirlik ve Kaynak Verim.,,S,,2,,0,,2,,3,,,,516840,,Finansman Mühendisliği,,S,,3,,0,,3,,5
516741,,Endüstriyel Ürün Tasarımı,,S,,2,,0,,2,,3,,,,516841,,Rassal Modeller,,S,,3,,0,,3,,5
516742,,Endüstriyel Sistemlere Veri İşleme,,S,,2,,0,,2,,3,,,,516842,,MatLab,,S,,3,,0,,3,,5
516743,,Sanayide Ar-Ge ve İnovasyon,,S,,2,,0,,2,,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
  ,"+90-414-318-3000
			(1687)"
  ,endustri@harran.edu.tr
 ,Lütfen tıklayınız
,Lütfen tıklayınız
