

1,"
ING104
",-,Matematik I,Zorunlu,6,4,0,10,"
"
2,"
ING114
",-,Fizik I,Zorunlu,3,2,1,7,"
"
3,"
ING125
",-,Kimya I,Zorunlu,1,0,1,3,"
"
4,"
ING132
",-,Bilgisayar I,Zorunlu,1,0,2,3,"
"
5,"
IND101
",-,Endüstri Mühendisliğine Giriş,Zorunlu,2,0,0,3,"
"
"
Not:(1) Fransızca Hazırlık sınıfından gelen ve Fransızca seviye tespit sınavında başarısız olan öğrenciler, Yabancı Dil dersi olarak Fransızca dersini alırlar. 
(2)Fransızca seviye tespit sınavını başarmış olup, İngilizce seviye tespit sınavında başarısız olan öğrenciler, Yabancı Dil dersi olarak, Yabancı Dil Bölümü’nün öğrencinin seviyesine uygun olarak açacağı İngilizce dersini alırlar.(3) Fransızca ve İngilizce seviyeleri istenen düzeyde olan öğrenciler, Yabancı Dil Bölümü’nün açacağı diğer dil derslerini alırlar.

"


1,"
ING105
",-,Matematik II,Zorunlu,6,4,0,10,"
"
2,"
ING115
",-,Fizik II,Zorunlu,4,2,1,7,"
"
3,"
ING126
",-,Kimya II,Zorunlu,1,0,1,3,"
"
4,"
ING133
",-,Bilgisayar II,Zorunlu,1,0,2,3,"
"
5,"
ING144
",-,Teknik Resim,Zorunlu,1,1,0,3,"
"
6,"
CNT105
",-,Türkçe II,Zorunlu,0,2,0,2,"
"


1,"
ING203
",-,Yüksek Matematik I,Zorunlu,3,2,0,5,"
"
2,"
ING207
",-,Lineer Cebir,Zorunlu,2,2,0,5,"
"
3,"
ING215
",-,Elektrik Ve Elektronik,Zorunlu,2,2,0,5,"
"
4,"
ING216
",-,Termodinamik,Zorunlu,1,1,0,2,"
"
5,"
ING217
",-,Mekanik,Zorunlu,2,0,0,2,"
"
6,"
ING231
",-,Algoritma Ve İleri Bilg. Programlama,Zorunlu,2,0,2,5,"
"
7,"
CNT211
",-,İnkılap Tarihi I,Zorunlu,2,0,0,2,"
"
8,"
CNT214
",-,İş Güvenliği ve Sağlığı,Seçmeli,2,0,0,2,"
"
9,"
CNT232
",-,Genel Muhasebe,Seçmeli,2,0,0,2,"
"
"
Notlar:		Önerilen seçmeli derslerden, 1 adet ders seçilecektir.
"


1,"
ING204
",-,Yüksek Matematik II,Zorunlu,4,2,0,6,"
"
2,"
ING208
",-,Diferansiyel Denklemler,Zorunlu,2,1,0,4,"
"
3,"
ING224
",-,Bilişim Teknolojilerine Giriş,Zorunlu,3,0,0,4,"
"
4,"
IND211
",-,Olasılık,Zorunlu,3,0,0,4,"
"
5,"
IND232
",-,Üretim Yöntemleri ve Malzeme Bilimi,Zorunlu,3,0,0,4,"
"
6,"
CNT212
",-,İnkılap Tarihi II,Zorunlu,2,0,0,2,"
"
7,"
IND299
",-,Staj,Zorunlu,0,0,2,2,"
"
8,"
CNT233
",-,Maliyet Muhasebesi,Seçmeli,2,0,0,2,"
"
9,"
CNT242
",-,İktisada Giriş,Seçmeli,2,0,0,2,"
"
"
Notlar:		Önerilen seçmeli derslerden, 1 adet ders seçilecektir.
"


1,"
IND314
",-,İstatistik,Zorunlu,4,0,0,4,"
"
2,"
IND334
",-,Bilgisayar Destekli İmalat Sistemleri,Zorunlu,3,0,0,4,"
"
3,"
IND371
",ING207,Yöneylem Araştırması I,Zorunlu,4,0,0,5,"
"
4,"
IND373
",-,Sistem Analizi,Zorunlu,3,0,0,4,"
"
5,"
IND344
",-,Endüstriyel Ekoloji Ve Sürdürülebilir Mühendislik,Seçmeli,3,0,0,4,"
"
6,"
IND356
",ING231,Veri Tabanı Yönetimi,Seçmeli,3,0,0,4,"
"
7,"
IND357
",-,Yeni Ürün ve İş Geliştirme Yöntemleri,Seçmeli,3,0,0,4,"
"
8,"
IND358
",-,Verimlilik Yönetimi,Seçmeli,3,0,0,4,"
"
9,"
IND376
",ING204,Sayısal Analiz,Seçmeli,3,0,0,4,"
"
10,"
CNT342
",-,Mikro Ekonomi,Seçmeli,2,0,0,2,"
"
11,"
CNT363
",-,Mühendislik Etiği,Seçmeli,2,0,0,2,"
"
"
Notlar: Önerilen seçmeli derslerden, CNT grubundan 1 adet ve IND grubundan 2 adet olmak üzere 3 adet ders seçilecektir.
"


1,"
IND304
",IND373 VE IND314,Modelleme Ve Simülasyon,Zorunlu,3,0,0,5,"
"
2,"
IND321
",-,Mühendislik Ekonomisi,Zorunlu,2,0,2,4,"
"
