
"
								Dönem 1								"
"
								CHEM101							","
Genel KimyaAtom, molekül ve iyonlar; kimyada kütle ilişkileri; stokiyometre; gazlar; ideal gaz kanunu, kısmi basınç, mol kesiri, gazların kinetik teorisi; Elektronik yapı ve periyodik tablo; Termokimya, kalorimetri, entalfi, termodinamiğin 1. kanunu;Sıvılar ve katılar; Çözeltiler; Asit ve bazlar; Organik kimya.   ","
								1							","
								4							","
								4							","
								1							","
								-							","
								6							"
"
								PHYS101							","
Fizik - IFizik ve Ölçme, Vektörler,Vektörlerin (bir ve iki boyutta olmak üzere) uygulamaları, Newton'un kanunları ve uygulamaları, dairesel hareket, iş ve enerji, enerjinin korunumu ve değişimi, çizgisel momentum ve çarpışma problemleri, enerji ve momentumun korunumu, katı cisimlerin sabit bir eksen etrafında dönmesi, yuvarlanma hareketi, açısal momentum ve statik denge. ","
								1							","
								4							","
								4							","
								1							","
								-							","
								6							"
"
								MATH151							","
Analiz - ILimit ve süreklilik. Türev ve türev kuralları, yüksek derece türevler, zincir kuralı. İlişkili değişim hızı. Roll ve ortalama değer teoremleri. Kritik nokta, asimptot tayini ve eğri çizimi. İnegral hesap: İntegralin temel teoremi. İntegrasyon teknikleri. Belirli integral. İntegralin geometri ve bilimdeki uygulamalrı. Belirsiz formlar. L'Hospital kuralı. Sonsuz integraller. Sonsuz seriler, Geometrik seriler, kuvvet serileri, Taylor serileri, binom serileri. 
 ","
								1							","
								4							","
								4							","
								-							","
								1							","
								6							"
"
								ENGL191							","
İngilizce'de İletişim - IENGL191 birinci sınıf akademik İngilizce dersidir. Avrupa Ortak Dil Öğretim Politikası?nda (CEFR) belirtildiği gibi ENGL191 dersi öğrencilerin İngilizce seviyelerinin B1+ seviyesinde ilerletmeleri için  düzenlenmiştir. Ders, kritik düşünme ile dil becerilerini birleştirir ve IQ online gibi eğitim teknolojilerinin kullanımını sağlayarak daha etkili bir dil öğrenimini sağlamayı hedefler. Bu dersin amacı öğrencilerin bilgilerini ve akademik konuşmanın farkındalığını, dil yapılarını ve kelime dağarcığını pekiştirmektir. Bu ders başlıca, akademik ortamlarda yazma, konuşma becerileri, okuma becerileri ve genelde çalışma becerilerinin geliştirilmesi üzerinde yoğunlaşır. ","
								1							","
								3							","
								3							","
								1							","
								-							","
								5							"
"
								ENGL181							","
Akademik İngilizce - IENGL181 birinci sınıf akademik İngilizce dersidir. Avrupa Ortak Dil Öğretim Politikası?nda (CEFR) belirtildiği gibi ENGL181 dersi öğrencilerin İngilizce seviyelerinin B1+ seviyesinde ilerletmeleri için  düzenlenmiştir. Ders, kritik düşünme ile dil becerilerini birleştirir ve IQ online gibi eğitim teknolojilerinin kullanımını sağlayarak daha etkili bir dil öğrenimini sağlamayı hedefler. Bu dersin amacı öğrencilerin bilgilerini ve akademik konuşmanın farkındalığını, dil yapılarını ve kelime dağarcığını pekiştirmektir. Bu ders başlıca, akademik ortamlarda yazma, konuşma becerileri, okuma becerileri ve genelde çalışma becerilerinin geliştirilmesi üzerinde yoğunlaşır. ","
								1							","
								3							","
								5							","
								1							","
								-							","
								5							"
"
								IENG112							","
Endüstri Mühendisliği`ne GirişBu dersin ana amacı birinci sınıf öğrencilerini Endüstri Mühendisliği mesleği hakkında bilgilendirmektir. Derste ayrıca Endüstri Mühendisliği'nin tarihsel gelişimi, Endüstri Mühendisliği ile ilgili geleneksel ve güncel konular yanında yazılım uygulamaları, temel modelleme ve eniyileme ile üretim sistemleri tasarımı ve kontrolü (metod mühendisliği, iş ölçümü, ergonomi, tesis planlama ve tasarımı ve kontrolü) konuları da işlenecektir. ","
								1							","
								4							","
								4							","
								1							","
								-							","
								7							"
"
								Dönem 2								"
"
								CMPE110							","
								Programlama Esasları							","
								2							","
								4							","
								4							","
								1							","
								-							","
								6							"
"
								PHYS102							","
Fizik - IIİdeal gazların kinetik teorisi. Enerji bölüşümü. Isı, ısı transferi ve ısı iletimi. Termodinamik yasaları, motor çevrimleri uygulamaları. Coulomb kanunu ve elektrostatik alanlar. Gauss yasası. Elektrik potansiyeli. Manyetik alan. Amper yasası. Faraday yasası. ","
								2							","
								4							","
								4							","
								1							","
								-							","
								6							"
"
								MATH152							","
Analiz - IIR3 de vektörler. Doğru ve düzlemler. Çok değişkenli fonksiyonlar. Limit ve süreklilik. Kısmi türev. Zincir kuralı. Teğet düzlemi. Kritik noktalar. Global ve yerel ekstrema. Lagrange metodu. Yönsel türev. Gradyan, diverjans ve rotasyonel. Katlı integral ve uygulamaları. Üçlü integral ve uygulamaları. Silindirik ve küresel koordinat sisteminde üçlü integral. Çizgi, yüzey ve hacim integralleri. Yönsel bağımsızlık. Green teoremi. Konservatif vektör alanları. Iraksaklık teoremi. Stoke teoremi. 
 ","
								2							","
								4							","
								4							","
								1							","
								-							","
								6							"
"
								ENGL182							","
Akademik  İngilizce - IIENGL182 birinci sınıf  ikinci donem akademik İngilizce dersidir. Avrupa Ortak Dil Çerçevesi Kriterlerinde (CEFR) belirtildiği gibi ENGL182 dersi öğrencilerin İngilizce seviyelerinin B2 seviyesinde ilerletmeleri için düzenlenmiştir. Ders, kritik düşünme ile dil becerilerini birleştirir ve IQ Online gibi eğitim teknolojileri kullanılarak daha etkili öğrenimin sağlanmasını hedefler. Bu dersin amacı öğrencilerin bilgilerini ve akademik konuşmanın farkındalığını, dil yapılarını ve kelime dağarcığını pekiştirmektir. Bu ders başlıca, akademik ortamlarda yazma, konuşma becerileri, okuma becerileri ve genelde çalışma becerilerinin geliştirilmesi üzerinde yoğunlaşır. ","
